ACTIVITY SUMMARY REPORT
MARBLE PRESS LLC - 57395
PERIOD - 1025
ISBN,TITLE,AUTHOR,PROD TYPE,WHS,BILL PERIOD,BEG QTY,END QTY,TOT QTY RECV,SHIP QTY,STRG DUE,INSUR DUE,ADJ QTY
L#20,L#25,L#30,L#8,L#3,L#8,R#10,R#10,R#12,R#10,R#10,R#10,R#7
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),Brenda Maier,PB,1,1025,7181,7155,1,27,71.55,,
9781958325414,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),Brenda Maier,CB,1,1025,4975,4960,,15,0.00,,
9781958325445,ADVENTURES OF PENGUIN AND PANDA: IN THE DARK (VOL 4): A GRAPHIC NOVEL,Brenda Maier,PB,1,1025,1458,1185,,273,0.00,,
9781958325452,ADVENTURES OF PENGUIN AND PANDA: IN THE DARK (VOL 4): A GRAPHIC NOVEL,Brenda Maier,CB,1,1025,1833,1807,,26,0.00,,
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),Brenda Maier,PB,1,1025,6674,6638,1,37,66.38,,
9781958325711,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),Brenda Maier,CB,1,1025,4958,4947,,11,0.00,,
9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),Brenda Maier,PB,1,1025,8378,8353,,25,83.53,,
9781958325421,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),Brenda Maier,CB,1,1025,1922,1881,,41,0.00,,
9781958325230,DOGS NEXT DOOR,Patricia Carlin,CB,1,1025,4432,4430,,2,44.30,,
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,Brian Freschi,PB,1,1025,7975,7965,2,12,79.65,,
9781958325247,GIANT BABY!,Liz Rosenberg,CB,1,1025,9125,9126,6,5,0.00,,
9781958325391,I SAID NO: A KID-TO-KID GUIDE TO KEEPING PRIVATE PARTS PRIVATE,Kimberly King,CB,1,1025,3428,1769,1,1660,0.00,,
9781958325377,INTO THE DEEP BLUE,Jennifer E. Archer,CB,1,1025,3880,3670,2,212,0.00,,
9781958325100,LINDEN: THE STORY OF A TREE,Colleen Muske,CB,1,1025,4213,4210,1,4,42.10,,
9781958325186,LITTLE WOLFS HOWL: A STORY OF GETTING LOST ONLY TO FIND ONES VOICE,Nelly Buchet,CB,1,1025,3813,3807,,6,38.07,,
9781958325025,MY BIG EMBARRASSING ELEPHANT,Angie Lucas,CB,1,1025,11537,11536,2,3,0.00,,
9781958325124,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP AND GROWING UP,Anne Ylvisaker,CB,1,1025,2619,2618,,1,26.18,,
9781958325407,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP AND GROWING UP,Anne Ylvisaker,PB,1,1025,6104,6088,4,20,0.00,,
9781958325087,OUR UNBREAKABLE THREAD: A FAMILYS LOVE THROUGH GENERATIONS,Jon Collins-Black,CB,1,1025,20975,20943,49,81,0.00,,
9781958325223,RAFA AND THE WRONG LEGS,Angie Lucas,CB,1,1025,3773,3766,2,9,37.66,,
9781958325254,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,Brian Anderson,PB,1,1025,4958,4955,2,5,49.55,,
9781958325308,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,Brian Anderson,CB,1,1025,2515,2501,,14,25.01,,
9781958325148,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,,PB,1,1025,4235,4228,,7,42.28,,
9781958325292,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,,CB,1,1025,2197,2185,,12,0.00,,
9781958325346,SOPHIE: WAGS TO WISHES (VOL 3): A GRAPHIC NOVEL,Brian Anderson,CB,1,1025,1668,1589,,79,0.00,,
9781958325353,SOPHIE: WAGS TO WISHES (VOL 3): A GRAPHIC NOVEL,Brian Anderson,PB,1,1025,1256,1080,,176,0.00,,
9781958325285,THESE LITTLE FEET,Hayley Rawsthorne,CB,1,1025,9915,9913,,2,0.00,,
9781958325209,TRACTOR SQUAD,Heather Dawn Torres,CB,1,1025,3693,3683,,10,36.83,,
9781958325322,TRACTOR SQUAD SAVES THE DAY,Heather Dawn Torres,CB,1,1025,5508,5504,,4,0.00,,
TOTALS,,,,,,155198,152492,73,2779,643.09,0,0
