EBOOK SALES BY TITLE REPORT
57395 - MARBLE PRESS LLC
PERIOD from 10-01-25 to 10-31-25
ORDER NBR,DATE,ISBN,TITLE,QUANTITY,PRODUCT AMT
6496596,10-23-25,9781958325049,Adventures Of Penguin And Panda: Fun And Games!: Graphic Novel (2),1,4.00
Subtotal for Adventures Of Penguin And Panda: Fun And Games!: Graphic Novel (2),,,,1,4.00
 
6496596,10-23-25,9781958325179,Adventures Of Penguin And Panda: Winterfest: Graphic Novel (3),1,4.00
Subtotal for Adventures Of Penguin And Panda: Winterfest: Graphic Novel (3),,,,1,4.00
 
6497501,10-29-25,9781958325018,Ellie In First Position: A Graphic Novel,1,1.12
Subtotal for Ellie In First Position: A Graphic Novel,,,,1,1.12
 
6496780,10-27-25,9781958325469,I Said No: A Kid-to-kid Guide To Keeping Private Parts Private,1,6.75
Subtotal for I Said No: A Kid-to-kid Guide To Keeping Private Parts Private,,,,1,6.75
 
6496765,10-27-25,9781958325384,Into The Deep Blue,1,5.13
6496766,10-27-25,9781958325384,Into The Deep Blue,1,5.63
6496768,10-27-25,9781958325384,Into The Deep Blue,2,11.22
6496780,10-27-25,9781958325384,Into The Deep Blue,6,35.10
6497507,10-29-25,9781958325384,Into The Deep Blue,1,7.14
6497507,10-29-25,9781958325384,Into The Deep Blue,1,7.35
Subtotal for Into The Deep Blue,,,,12,71.57
 
6496596,10-23-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,4.00
6496596,10-23-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,4.00
6496780,10-27-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,9,40.50
6497448,10-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,4,28.00
6497448,10-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,7.06
Subtotal for Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,,,,16,83.56
 
6496780,10-27-25,9781958325155,Sophie: Frankensteins Hound: A Graphic Novel  Vol.2,3,20.25
6497507,10-29-25,9781958325155,Sophie: Frankensteins Hound: A Graphic Novel  Vol.2,1,8.24
Subtotal for Sophie: Frankensteins Hound: A Graphic Novel  Vol.2,,,,4,28.49
 
6496780,10-27-25,9781958325278,Sophie: Jurassic Bark: A Graphic Novel  Vol.1,2,13.50
6497507,10-29-25,9781958325278,Sophie: Jurassic Bark: A Graphic Novel  Vol.1,1,8.24
Subtotal for Sophie: Jurassic Bark: A Graphic Novel  Vol.1,,,,3,21.74
 
6497448,10-29-25,9781958325339,Tractor Squad Saves The Day,1,7.00
Subtotal for Tractor Squad Saves The Day,,,,1,7.00
 
Total,,,,40,228.23
