ACTIVITY SUMMARY REPORT
MARBLE PRESS LLC - 57395
PERIOD - 0225
ISBN,TITLE,AUTHOR,PROD TYPE,WHS,BILL PERIOD,BEG QTY,END QTY,TOT QTY RECV,SHIP QTY,STRG DUE,INSUR DUE,ADJ QTY
L#20,L#25,L#30,L#8,L#3,L#8,R#10,R#10,R#12,R#10,R#10,R#10,R#7
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),Brenda Maier,PB,1,0225,7849,7792,1,58,0.00,,
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),Brenda Maier,PB,1,0225,7393,7328,1,66,0.00,,
9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),Brenda Maier,PB,1,0225,8797,8732,1,66,0.00,,
9781958325230,DOGS NEXT DOOR,Patricia Carlin,CB,1,0225,4426,4421,,5,0.00,,
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,,PB,1,0225,8384,8360,1,25,83.60,,
9781958325247,GIANT BABY!,Liz Rosenberg,CB,1,0225,10098,10023,,75,0.00,,
9781958325100,LINDEN: THE STORY OF A TREE,Colleen Muske,CB,1,0225,4248,4241,1,8,0.00,,
9781958325186,LITTLE WOLFS HOWL: A STORY OF GETTING LOST ONLY TO FIND ONES VOICE,Nelly Buchet,CB,1,0225,3954,3922,,32,0.00,,
9781958325025,MY BIG EMBARRASSING ELEPHANT,Angie Lucas,CB,1,0225,11820,11824,12,8,0.00,,
9781958325124,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP AND GROWING UP,Anne Ylvisaker,CB,1,0225,2578,2578,9,9,0.00,,
9781958325407,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP AND GROWING UP,Anne Ylvisaker,PB,1,0225,6320,6320,,0,0.00,,
9781958325087,OUR UNBREAKABLE THREAD: A FAMILYS LOVE THROUGH GENERATIONS,Jon Collins-Black,CB,1,0225,15348,14247,2,1103,0.00,,
9781958325223,RAFA AND THE WRONG LEGS,Angie Lucas,CB,1,0225,4045,4012,2,35,0.00,,
9781958325254,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,Brian Anderson,PB,1,0225,5349,5269,14,94,0.00,,
9781958325308,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,Brian Anderson,CB,1,0225,2707,2687,4,24,0.00,,
9781958325148,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,,PB,1,0225,4762,4716,37,83,0.00,,
9781958325292,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,,CB,1,0225,2409,2388,,21,0.00,,
9781958325285,THESE LITTLE FEET,Hayley Rawsthorne,CB,1,0225,10520,10483,,37,0.00,,
9781958325209,TRACTOR SQUAD,Heather Dawn Torres,CB,1,0225,3821,3818,28,31,0.00,,
9781958325322,TRACTOR SQUAD SAVES THE DAY,Heather Dawn Torres,CB,1,0225,6300,6213,,87,0.00,,
TOTALS,,,,,,131128,129374,113,1867,83.6,0,0
