MONTHLY SALES BY TITLE
MARBLE PRESS LLC - 57395
PERIOD - 0223
ISBN #,TITLE,WAREHOUSE,ORDER #,PONO,CUSTOMER,UNITS SOLD,DISC %,AMOUNT
 
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6042901,NZ054A8N,INGRAM BOOK COMPANY,0,50.00,0.00
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6042914,CZ054A5N,INGRAM BOOK COMPANY,0,50.00,0.00
SUBTOTAL 9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,,,,,0,,0.00
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6042914,CZ054A5N,INGRAM BOOK COMPANY,0,50.00,0.00
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6042901,NZ054A8N,INGRAM BOOK COMPANY,0,50.00,0.00
SUBTOTAL 9781958325025,MY BIG EMBARRASSING ELEPHANT,,,,,0,,0.00
TOTAL,,,,,,0,,0
