MONTHLY SALES BY TITLE
MARBLE PRESS LLC - 57395
PERIOD - 1023
ISBN #,TITLE,WAREHOUSE,ORDER #,PONO,CUSTOMER,UNITS SOLD,DISC %,AMOUNT
 
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6173594,4OHEICHZ,AMAZON.COM SERVICES INC ATLGX,1,50.00,6.99
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6174593,4S6WPK7D,AMAZON.COM SERVICES INC ATLGX,1,50.00,6.99
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6168812,1346687302104,BARNES & NOBLE INC,1,46.00,7.55
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6162292,BT23FALLWIN,BRIDGTON BOOKS INC.,1,45.00,7.69
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6160781,738565,BRODART CO,1,50.00,6.99
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6167104,7395672,BRODART CO,4,50.00,27.98
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6172097,740248,BRODART CO,1,50.00,6.99
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6176316,740738,BRODART CO,5,50.00,34.97
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6170619,B0172,CHILDREN'S PLUS  INC,1,55.00,6.30
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6158574,91023SBTPS,EIGHT COUSINS INC,1,45.00,7.69
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6167145,8095093,FOLLETT SCHOOL SOLUTIONS,5,55.00,31.48
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6177883,1492,HARVARD BOOK STORE,1,45.00,7.69
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6178903,EZ297VMR,INGRAM BOOK COMPANY,8,50.00,55.96
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6162339,EZ270YFN,INGRAM BOOK COMPANY,30,50.00,209.85
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6162342,CZ270YMR,INGRAM BOOK COMPANY,20,50.00,139.90
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6162334,DZ270Z5N,INGRAM BOOK COMPANY,40,50.00,279.80
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6162346,NZ270OPR,INGRAM BOOK COMPANY,10,50.00,69.95
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6161960,CZ269VMR,INGRAM BOOK COMPANY,28,50.00,195.86
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6166069,NZ276PVR,INGRAM BOOK COMPANY,8,50.00,55.96
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,DB,CM551905,L31650XX,INGRAM BOOK COMPANY,-4,49.96,-28.00
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6159453,BTF3,INNISFREE BOOKSHOP,1,45.00,7.69
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6165503,32101,ISLAND BOOKS ETC,1,45.00,7.69
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,BO424640,B0111354FL,MAPLE TREE BOOKS LLC,1,45.00,7.69
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,BO424641,E0211353FL,MAPLE TREE BOOKS LLC,2,45.00,15.39
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,BO424642,R0311355FL,MAPLE TREE BOOKS LLC,1,45.00,7.69
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6159918,S12133477,NORTHSHIRE BOOKSTORE,1,45.00,7.69
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6173455,31236,STOWE BOOKSTORE INC,1,45.00,7.69
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6179906,1283417,STRAND BOOKSTORE,4,50.00,27.98
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6160641,BT230920,WANDERING JELLYFISH BOOKSHOP,2,45.00,15.39
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6170520,BTPSW23,WATCHUNG BOOKSELLERS,2,45.00,15.39
SUBTOTAL 9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,,,,,179,,1258.88
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6173614,35PWSZQK,AMAZON.COM SERVICES INC ATLGX,34,50.00,322.83
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6173982,2XZAARDE,AMAZON.COM SERVICES INC ATLGX,34,50.00,322.83
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6166222,739448,BRODART CO,2,50.00,18.99
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6167104,7395672,BRODART CO,5,50.00,47.47
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6163499,197115,CHILDREN'S PLUS  INC,1,55.00,8.55
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6158574,91023SBTPS,EIGHT COUSINS INC,1,45.00,10.44
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6177839,BTPS102323,FALLEN LEAF BOOKS,1,45.00,10.44
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6164247,8084741,FOLLETT SCHOOL SOLUTIONS,2,55.00,17.09
9781958325025,MY BIG EMBARRASSING ELEPHANT,1,6175105,EZ290WMR,INGRAM BOOK COMPANY,8,50.00,75.96
