MONTHLY SALES BY TITLE
MARBLE PRESS LLC - 57395
PERIOD - 0525
ISBN #,TITLE,WAREHOUSE,ORDER #,PONO,CUSTOMER,UNITS SOLD,DISC %,AMOUNT
 
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,6424643,5KUAZDGJ,AMAZON.COM SERVICES INC ATLGX,1,50.00,4.99
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,6424652,6WJ8KXGE,AMAZON.COM SERVICES INC ATLGX,1,50.00,4.99
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,6424658,6611UTJW,AMAZON.COM SERVICES INC ATLGX,1,50.00,4.99
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,6424662,6RQXIA3R,AMAZON.COM SERVICES INC ATLGX,3,50.00,14.98
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,6424685,6M7NOXIY,AMAZON.COM SERVICES INC ATLGX,1,50.00,4.99
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,6424835,22XHQZZQ,AMAZON.COM SERVICES INC ATLGX,1,50.00,4.99
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,6429056,8U2BMATI,AMAZON.COM SERVICES INC ATLGX,1,50.00,4.99
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,6429269,1RL6B4JL,AMAZON.COM SERVICES INC ATLGX,1,50.00,4.99
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,6430296,9186495,FOLLETT SCHOOL SOLUTIONS,2,55.00,8.99
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),JB,6435181,APRIL 2025 RECEIPTS,FRASER DIRECT,9,25.00,44.35
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,CM588524,1850,INDUSTRY BOOKS,-1,45.00,-5.49
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,6424979,EZ119WUR,INGRAM BOOK COMPANY,8,50.00,39.96
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,6427330,NZ126USR,INGRAM BOOK COMPANY,6,50.00,29.97
SUBTOTAL 9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),,,,,34,,167.69
9781958325414,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,6428772,8HE12HHF,AMAZON.COM SERVICES INC ATLGX,0,50.00,0.00
9781958325414,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,6433038,6Q2HXJ6M,AMAZON.COM SERVICES INC ATLGX,0,50.00,0.00
9781958325414,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,6428746,7DG3MKMO,AMAZON.COM SERVICES INC ATLGX,0,50.00,0.00
9781958325414,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,6428750,1K6KYNJS,AMAZON.COM SERVICES INC ATLGX,0,50.00,0.00
9781958325414,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,6428761,8SSCSX3U,AMAZON.COM SERVICES INC ATLGX,0,50.00,0.00
9781958325414,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,6428767,1EMB6BYZ,AMAZON.COM SERVICES INC ATLGX,0,50.00,0.00
9781958325414,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,6428789,137YEVDK,AMAZON.COM SERVICES INC ATLGX,0,50.00,0.00
9781958325414,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,6432757,784130,BRODART CO,0,50.00,0.00
SUBTOTAL 9781958325414,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),,,,,0,,0.00
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,6428832,88M74MQQ,AMAZON.COM SERVICES INC ATLGX,1,50.00,4.99
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,6428843,8Y2LYAZP,AMAZON.COM SERVICES INC ATLGX,1,50.00,4.99
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,6429027,7KPG2QKB,AMAZON.COM SERVICES INC ATLGX,2,50.00,9.99
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,6429056,8U2BMATI,AMAZON.COM SERVICES INC ATLGX,1,50.00,4.99
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,6429115,8G18J36Y,AMAZON.COM SERVICES INC ATLGX,1,50.00,4.99
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,6429168,8TABVMMC,AMAZON.COM SERVICES INC ATLGX,1,50.00,4.99
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,6429269,1RL6B4JL,AMAZON.COM SERVICES INC ATLGX,1,50.00,4.99
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,6432934,5ELKASMD,AMAZON.COM SERVICES INC ATLGX,2,50.00,9.99
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,6429571,131090,BROOKLINE BOOKSMITH,2,45.00,10.99
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,6432707,9194507,FOLLETT SCHOOL SOLUTIONS,25,55.00,112.39
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,6428333,9175423,FOLLETT SCHOOL SOLUTIONS,2,55.00,8.99
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),JB,6435181,APRIL 2025 RECEIPTS,FRASER DIRECT,7,25.00,35.02
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,CM588524,1850,INDUSTRY BOOKS,-1,45.00,-5.49
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,6431638,EZ140TIR,INGRAM BOOK COMPANY,4,50.00,19.98
SUBTOTAL 9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),,,,,49,,231.80
9781958325711,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,6428761,8SSCSX3U,AMAZON.COM SERVICES INC ATLGX,0,50.00,0.00
9781958325711,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,6428772,8HE12HHF,AMAZON.COM SERVICES INC ATLGX,0,50.00,0.00
9781958325711,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,6433038,6Q2HXJ6M,AMAZON.COM SERVICES INC ATLGX,0,50.00,0.00
9781958325711,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,6428767,1EMB6BYZ,AMAZON.COM SERVICES INC ATLGX,0,50.00,0.00
9781958325711,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,6428746,7DG3MKMO,AMAZON.COM SERVICES INC ATLGX,0,50.00,0.00
9781958325711,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,6428750,1K6KYNJS,AMAZON.COM SERVICES INC ATLGX,0,50.00,0.00
9781958325711,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,6428789,137YEVDK,AMAZON.COM SERVICES INC ATLGX,0,50.00,0.00
9781958325711,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,6432757,784130,BRODART CO,0,50.00,0.00
SUBTOTAL 9781958325711,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),,,,,0,,0.00
9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),1,6427138,MOM3957795,BAKER & TAYLOR BOOKS,5,50.00,24.97
9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),1,6433891,MOM3960754,BAKER & TAYLOR BOOKS,1,50.00,4.99
9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),1,6428333,9175423,FOLLETT SCHOOL SOLUTIONS,2,55.00,8.99
9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),1,6432707,9194507,FOLLETT SCHOOL SOLUTIONS,20,55.00,89.91
9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),JB,6435181,APRIL 2025 RECEIPTS,FRASER DIRECT,2,25.00,10.30
9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),1,6429626,EZ133U2R,INGRAM BOOK COMPANY,4,50.00,19.98
9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),1,6429639,NZ133ZGR,INGRAM BOOK COMPANY,2,50.00,9.99
SUBTOTAL 9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),,,,,36,,169.13
9781958325230,DOGS NEXT DOOR,1,CM586646,26077573984551,AMAZON.COM SERVICES INC ATLGX,-1,49.98,-9.50
9781958325230,DOGS NEXT DOOR,1,CM586877,26072394671551,AMAZON.COM SERVICES INC ATLGX,-1,49.98,-9.50
9781958325230,DOGS NEXT DOOR,DB,CM586970,26069990333551,AMAZON.COM SERVICES INC ATLGX,-1,49.98,-9.50
9781958325230,DOGS NEXT DOOR,1,CM587043,26060601845551,AMAZON.COM SERVICES INC ATLGX,-1,49.98,-9.50
9781958325230,DOGS NEXT DOOR,1,CM586639,26075203340551,AMAZON.COM SERVICES INC ATLGX,-1,49.98,-9.50
9781958325230,DOGS NEXT DOOR,1,CM586645,26072928608551,AMAZON.COM SERVICES INC ATLGX,-1,49.98,-9.50
9781958325230,DOGS NEXT DOOR,1,CM587543,26079510100551,AMAZON.COM SERVICES INC ATLGX,-1,49.98,-9.50
9781958325230,DOGS NEXT DOOR,1,CM587249,27188663189551,AMAZON.COM SERVICES INC ATLGX,-1,49.98,-9.50
9781958325230,DOGS NEXT DOOR,1,CM587663,27201315938551,AMAZON.COM SERVICES INC ATLGX,-2,49.98,-19.00
