INVENTORY RECEIPT BY SUBJECT REPORT
MARBLE PRESS LLC - 57395
PERIOD - 0324
TTRAN,PUB,RECEIPT DATE,ISBN,TITLE,WAREHOUSE,QTY RECEIVED,RECEIVING CHARGES,SUBJECT
103289,57395,03-21-24,9781958325087,OUR UNBREAKABLE THREAD: A FAMILYS LOVE THROUGH GENERATIONS,1,10200,0.00,
103290,57395,03-21-24,9781958325100,LINDEN: THE STORY OF A TREE,1,5154,0.00,
103291,57395,03-21-24,9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,10300,0.00,
103292,57395,03-21-24,9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,10300,0.00,
 
SUBJECT TOTALS,,,,,,35954,0.00,
 
 
TOTALS,,,,,,35954,0.00
 
