EBOOK SALES BY TITLE REPORT
57395 - MARBLE PRESS LLC
PERIOD from 12-01-24 to 12-31-24
ORDER NBR,DATE,ISBN,TITLE,QUANTITY,PRODUCT AMT
6376413,12-26-24,9781958325018,Ellie In First Position: A Graphic Novel,1,4.99
6376413,12-26-24,9781958325018,Ellie In First Position: A Graphic Novel,1,4.99
6376413,12-26-24,9781958325018,Ellie In First Position: A Graphic Novel,1,4.99
Subtotal for Ellie In First Position: A Graphic Novel,,,,3,14.97
 
6376415,12-26-24,9781958325032,My Big Embarrassing Elephant,1,0.28
Subtotal for My Big Embarrassing Elephant,,,,1,0.28
 
Total,,,,4,15.25
