ACTIVITY SUMMARY REPORT
MARBLE PRESS LLC - 57395
PERIOD - 0424
ISBN,TITLE,AUTHOR,PROD TYPE,WHS,BILL PERIOD,BEG QTY,END QTY,TOT QTY RECV,SHIP QTY,STRG DUE,INSUR DUE,ADJ QTY
L#20,L#25,L#30,L#8,L#3,L#8,R#10,R#10,R#12,R#10,R#10,R#10,R#7
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),Brenda Maier,PB,1,0424,9921,9277,,644,0.00,,
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),Brenda Maier,PB,1,0424,9792,9079,,713,0.00,,
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,Brian Freschi,PB,1,0424,8657,8576,,81,0.00,,
9781958325100,LINDEN: THE STORY OF A TREE,Colleen Muske,CB,1,0424,4705,4436,,269,0.00,,
9781958325025,MY BIG EMBARRASSING ELEPHANT,Angie Lucas,CB,1,0424,8245,8267,41,19,0.00,,
9781958325124,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP AND GROWING UP,Anne Ylvisaker,CB,1,0424,0,3470,4064,594,0.00,,
9781958325087,OUR UNBREAKABLE THREAD: A FAMILYS LOVE THROUGH GENERATIONS,Jon Collins-Black,CB,1,0424,10054,9818,,236,0.00,,
TOTALS,,,,,,51374,52923,4105,2556,0,0,0
