ACTIVITY SUMMARY REPORT
MARBLE PRESS LLC - 57395
PERIOD - 0724
ISBN,TITLE,AUTHOR,PROD TYPE,WHS,BILL PERIOD,BEG QTY,END QTY,TOT QTY RECV,SHIP QTY,STRG DUE,INSUR DUE,ADJ QTY
L#20,L#25,L#30,L#8,L#3,L#8,R#10,R#10,R#12,R#10,R#10,R#10,R#7
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),Brenda Maier,PB,1,0724,8887,8610,4,281,0.00,,
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),Brenda Maier,PB,1,0724,8663,8336,4,331,0.00,,
9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),Brenda Maier,PB,1,0724,0,10362,10368,6,0.00,,
9781958325230,DOGS NEXT DOOR,Patricia Carlin,CB,1,0724,0,5162,5168,6,0.00,,
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,Brian Freschi,PB,1,0724,8549,8536,,13,0.00,,
9781958325100,LINDEN: THE STORY OF A TREE,Colleen Muske,CB,1,0724,4277,4274,,3,0.00,,
9781958325186,LITTLE WOLFS HOWL: A STORY OF GETTING LOST ONLY TO FIND ONES VOICE,Nelly Buchet,CB,1,0724,0,5162,5168,6,0.00,,
9781958325025,MY BIG EMBARRASSING ELEPHANT,Angie Lucas,CB,1,0724,8271,8247,13,37,0.00,,
9781958325124,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP AND GROWING UP,Anne Ylvisaker,CB,1,0724,2857,2792,,65,0.00,,
9781958325087,OUR UNBREAKABLE THREAD: A FAMILYS LOVE THROUGH GENERATIONS,Jon Collins-Black,CB,1,0724,9750,9746,,4,0.00,,
9781958325223,RAFA AND THE WRONG LEGS,Angie Lucas,CB,1,0724,0,5106,5112,6,0.00,,
9781958325254,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,Brian Anderson,PB,1,0724,0,6990,7236,246,0.00,,
9781958325148,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,Brian Anderson,PB,1,0724,0,6968,7236,268,0.00,,
9781958325209,TRACTOR SQUAD,Heather Dawn Torres,CB,1,0724,0,4665,5160,495,0.00,,
TOTALS,,,,,,51254,94956,45469,1767,0,0,0
