EBOOK SALES BY TITLE REPORT
57395 - MARBLE PRESS LLC
PERIOD from 01-01-26 to 01-31-26
ORDER NBR,DATE,ISBN,TITLE,QUANTITY,PRODUCT AMT
6514824,01-14-26,9781958325049,Adventures Of Penguin And Panda: Fun And Games!: Graphic Novel (2),1,4.00
6519674,01-29-26,9781958325049,Adventures Of Penguin And Panda: Fun And Games!: Graphic Novel (2),1,1.22
Subtotal for Adventures Of Penguin And Panda: Fun And Games!: Graphic Novel (2),,,,2,5.22
 
6510966,01-05-26,9781958325063,Adventures Of Penguin And Panda: Surprise!: Graphic Novel (1),1,4.99
6510966,01-05-26,9781958325063,Adventures Of Penguin And Panda: Surprise!: Graphic Novel (1),1,4.99
Subtotal for Adventures Of Penguin And Panda: Surprise!: Graphic Novel (1),,,,2,9.98
 
6510966,01-05-26,9781958325018,Ellie In First Position: A Graphic Novel,1,4.99
6514824,01-14-26,9781958325018,Ellie In First Position: A Graphic Novel,1,4.00
6519674,01-29-26,9781958325018,Ellie In First Position: A Graphic Novel,1,1.55
6519674,01-29-26,9781958325018,Ellie In First Position: A Graphic Novel,1,3.43
6519674,01-29-26,9781958325018,Ellie In First Position: A Graphic Novel,1,2.44
6510966,01-05-26,9781958325018,Ellie In First Position: A Graphic Novel,1,4.99
6510966,01-05-26,9781958325018,Ellie In First Position: A Graphic Novel,1,4.99
Subtotal for Ellie In First Position: A Graphic Novel,,,,7,26.39
 
6519679,01-29-26,9781958325469,I Said No: A Kid-to-kid Guide To Keeping Private Parts Private,1,0.40
6519679,01-29-26,9781958325469,I Said No: A Kid-to-kid Guide To Keeping Private Parts Private,1,0.40
6519679,01-29-26,9781958325469,I Said No: A Kid-to-kid Guide To Keeping Private Parts Private,1,0.40
6519679,01-29-26,9781958325469,I Said No: A Kid-to-kid Guide To Keeping Private Parts Private,1,0.40
6519690,01-29-26,9781958325469,I Said No: A Kid-to-kid Guide To Keeping Private Parts Private,1,6.75
6519690,01-29-26,9781958325469,I Said No: A Kid-to-kid Guide To Keeping Private Parts Private,4,27.00
6519732,01-29-26,9781958325469,I Said No: A Kid-to-kid Guide To Keeping Private Parts Private,1,6.67
Subtotal for I Said No: A Kid-to-kid Guide To Keeping Private Parts Private,,,,10,42.02
 
6510966,01-05-26,9781958325384,Into The Deep Blue,1,6.49
6510966,01-05-26,9781958325384,Into The Deep Blue,1,6.49
6510966,01-05-26,9781958325384,Into The Deep Blue,1,6.49
6510966,01-05-26,9781958325384,Into The Deep Blue,1,6.49
6510966,01-05-26,9781958325384,Into The Deep Blue,1,6.49
6510966,01-05-26,9781958325384,Into The Deep Blue,1,6.49
6510966,01-05-26,9781958325384,Into The Deep Blue,1,6.49
6510966,01-05-26,9781958325384,Into The Deep Blue,1,6.49
6510966,01-05-26,9781958325384,Into The Deep Blue,1,6.49
6510966,01-05-26,9781958325384,Into The Deep Blue,1,6.49
6510966,01-05-26,9781958325384,Into The Deep Blue,1,6.49
6510966,01-05-26,9781958325384,Into The Deep Blue,1,6.49
6510966,01-05-26,9781958325384,Into The Deep Blue,1,6.49
6510966,01-05-26,9781958325384,Into The Deep Blue,1,6.49
6510966,01-05-26,9781958325384,Into The Deep Blue,1,6.49
6510966,01-05-26,9781958325384,Into The Deep Blue,1,6.49
6510966,01-05-26,9781958325384,Into The Deep Blue,1,6.49
6510966,01-05-26,9781958325384,Into The Deep Blue,1,6.49
6510966,01-05-26,9781958325384,Into The Deep Blue,1,6.49
6510966,01-05-26,9781958325384,Into The Deep Blue,1,6.49
6510966,01-05-26,9781958325384,Into The Deep Blue,1,6.49
6514824,01-14-26,9781958325384,Into The Deep Blue,1,5.00
6514824,01-14-26,9781958325384,Into The Deep Blue,1,5.00
6519674,01-29-26,9781958325384,Into The Deep Blue,1,22.30
6519674,01-29-26,9781958325384,Into The Deep Blue,1,2.23
6519676,01-29-26,9781958325384,Into The Deep Blue,1,7.14
6519676,01-29-26,9781958325384,Into The Deep Blue,1,7.14
6519676,01-29-26,9781958325384,Into The Deep Blue,1,7.14
6519676,01-29-26,9781958325384,Into The Deep Blue,1,7.15
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.36
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
6519679,01-29-26,9781958325384,Into The Deep Blue,1,0.35
