EBOOK SALES BY TITLE REPORT
57395 - MARBLE PRESS LLC
PERIOD from 03-01-25 to 03-31-25
ORDER NBR,DATE,ISBN,TITLE,QUANTITY,PRODUCT AMT
6411862,03-24-25,9781958325018,Ellie In First Position: A Graphic Novel,1,4.99
6411862,03-24-25,9781958325018,Ellie In First Position: A Graphic Novel,1,4.99
6411862,03-24-25,9781958325018,Ellie In First Position: A Graphic Novel,1,4.99
6411862,03-24-25,9781958325018,Ellie In First Position: A Graphic Novel,1,4.99
6411862,03-24-25,9781958325018,Ellie In First Position: A Graphic Novel,1,4.99
6411862,03-24-25,9781958325018,Ellie In First Position: A Graphic Novel,1,4.99
6411862,03-24-25,9781958325018,Ellie In First Position: A Graphic Novel,1,4.99
6411862,03-24-25,9781958325018,Ellie In First Position: A Graphic Novel,1,4.99
6411862,03-24-25,9781958325018,Ellie In First Position: A Graphic Novel,1,4.99
6411862,03-24-25,9781958325018,Ellie In First Position: A Graphic Novel,1,4.99
6411862,03-24-25,9781958325018,Ellie In First Position: A Graphic Novel,1,4.99
Subtotal for Ellie In First Position: A Graphic Novel,,,,11,54.89
 
6413247,03-26-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,4.50
Subtotal for Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,,,,1,4.50
 
Total,,,,12,59.39
