ACTIVITY SUMMARY REPORT
MARBLE PRESS LLC - 57395
PERIOD - 0824
ISBN,TITLE,AUTHOR,PROD TYPE,WHS,BILL PERIOD,BEG QTY,END QTY,TOT QTY RECV,SHIP QTY,STRG DUE,INSUR DUE,ADJ QTY
L#20,L#25,L#30,L#8,L#3,L#8,R#10,R#10,R#12,R#10,R#10,R#10,R#7
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),Brenda Maier,PB,1,0824,8610,8311,8,307,0.00,,
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),Brenda Maier,PB,1,0824,8336,8173,2,165,0.00,,
9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),Brenda Maier,PB,1,0824,10362,9906,,456,0.00,,
9781958325230,DOGS NEXT DOOR,Patricia Carlin,CB,1,0824,5162,5159,,3,0.00,,
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,Brian Freschi,PB,1,0824,8536,8539,5,2,0.00,,
9781958325100,LINDEN: THE STORY OF A TREE,Colleen Muske,CB,1,0824,4274,4271,,3,0.00,,
9781958325186,LITTLE WOLFS HOWL: A STORY OF GETTING LOST ONLY TO FIND ONES VOICE,Nelly Buchet,CB,1,0824,5162,4419,,743,0.00,,
9781958325025,MY BIG EMBARRASSING ELEPHANT,Angie Lucas,CB,1,0824,8247,1729,44,6562,0.00,,
9781958325124,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP AND GROWING UP,Anne Ylvisaker,CB,1,0824,2792,2702,1,91,0.00,,
9781958325087,OUR UNBREAKABLE THREAD: A FAMILYS LOVE THROUGH GENERATIONS,Jon Collins-Black,CB,1,0824,9746,9741,1,6,0.00,,
9781958325223,RAFA AND THE WRONG LEGS,Angie Lucas,CB,1,0824,5106,4589,,517,0.00,,
9781958325254,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,Brian Anderson,PB,1,0824,6990,6707,,283,0.00,,
9781958325148,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,Brian Anderson,PB,1,0824,6968,6667,,301,0.00,,
9781958325209,TRACTOR SQUAD,Heather Dawn Torres,CB,1,0824,4665,4365,,300,0.00,,
TOTALS,,,,,,94956,85278,61,9739,0,0,0
