ACTIVITY SUMMARY REPORT
MARBLE PRESS LLC - 57395
PERIOD - 0925
ISBN,TITLE,AUTHOR,PROD TYPE,WHS,BILL PERIOD,BEG QTY,END QTY,TOT QTY RECV,SHIP QTY,STRG DUE,INSUR DUE,ADJ QTY
L#20,L#25,L#30,L#8,L#3,L#8,R#10,R#10,R#12,R#10,R#10,R#10,R#7
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),Brenda Maier,PB,1,0925,7182,7181,,1,71.81,,
9781958325414,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),Brenda Maier,CB,1,0925,4980,4975,,5,0.00,,
9781958325445,ADVENTURES OF PENGUIN AND PANDA: IN THE DARK (VOL 4): A GRAPHIC NOVEL,Brenda Maier,PB,1,0925,2041,1458,,583,0.00,,
9781958325452,ADVENTURES OF PENGUIN AND PANDA: IN THE DARK (VOL 4): A GRAPHIC NOVEL,Brenda Maier,CB,1,0925,1852,1833,,19,0.00,,
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),Brenda Maier,PB,1,0925,6683,6674,,9,66.74,,
9781958325711,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),Brenda Maier,CB,1,0925,4962,4958,,4,0.00,,
9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),Brenda Maier,PB,1,0925,8379,8378,1,2,0.00,,
9781958325421,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),Brenda Maier,CB,1,0925,2093,1922,,171,0.00,,
9781958325230,DOGS NEXT DOOR,Patricia Carlin,CB,1,0925,4431,4432,1,,0.00,,
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,Brian Freschi,PB,1,0925,7988,7975,,13,79.75,,
9781958325247,GIANT BABY!,Liz Rosenberg,CB,1,0925,9121,9125,7,3,0.00,,
9781958325391,I SAID NO: A KID-TO-KID GUIDE TO KEEPING PRIVATE PARTS PRIVATE,Kimberly King,CB,1,0925,1853,3428,1700,125,0.00,,
9781958325377,INTO THE DEEP BLUE,Jennifer E. Archer,CB,1,0925,4343,3880,1,464,0.00,,
9781958325100,LINDEN: THE STORY OF A TREE,Colleen Muske,CB,1,0925,4217,4213,1,5,42.13,,
9781958325186,LITTLE WOLFS HOWL: A STORY OF GETTING LOST ONLY TO FIND ONES VOICE,Nelly Buchet,CB,1,0925,3822,3813,,9,38.13,,
9781958325025,MY BIG EMBARRASSING ELEPHANT,Angie Lucas,CB,1,0925,11539,11537,1,3,0.00,,
9781958325124,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP AND GROWING UP,Anne Ylvisaker,CB,1,0925,2622,2619,,3,26.19,,
9781958325407,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP AND GROWING UP,Anne Ylvisaker,PB,1,0925,6103,6104,1,,0.00,,
9781958325087,OUR UNBREAKABLE THREAD: A FAMILYS LOVE THROUGH GENERATIONS,Jon Collins-Black,CB,1,0925,20975,20975,,,0.00,,
9781958325223,RAFA AND THE WRONG LEGS,Angie Lucas,CB,1,0925,3799,3773,,26,37.73,,
9781958325254,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,Brian Anderson,PB,1,0925,4959,4958,2,3,0.00,,
9781958325308,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,Brian Anderson,CB,1,0925,2523,2515,,8,0.00,,
9781958325148,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,,PB,1,0925,4238,4235,,3,0.00,,
9781958325292,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,,CB,1,0925,2207,2197,,10,0.00,,
9781958325346,SOPHIE: WAGS TO WISHES (VOL 3): A GRAPHIC NOVEL,Brian Anderson,CB,1,0925,2056,1668,,388,0.00,,
9781958325353,SOPHIE: WAGS TO WISHES (VOL 3): A GRAPHIC NOVEL,Brian Anderson,PB,1,0925,2031,1256,,775,0.00,,
9781958325285,THESE LITTLE FEET,Hayley Rawsthorne,CB,1,0925,9930,9915,,15,0.00,,
9781958325209,TRACTOR SQUAD,Heather Dawn Torres,CB,1,0925,3708,3693,1,16,36.93,,
9781958325322,TRACTOR SQUAD SAVES THE DAY,Heather Dawn Torres,CB,1,0925,5524,5508,,16,0.00,,
TOTALS,,,,,,156161,155198,1716,2679,399.41,0,0
