ACTIVITY SUMMARY REPORT
MARBLE PRESS LLC - 57395
PERIOD - 0325
ISBN,TITLE,AUTHOR,PROD TYPE,WHS,BILL PERIOD,BEG QTY,END QTY,TOT QTY RECV,SHIP QTY,STRG DUE,INSUR DUE,ADJ QTY
L#20,L#25,L#30,L#8,L#3,L#8,R#10,R#10,R#12,R#10,R#10,R#10,R#7
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),Brenda Maier,PB,1,0325,7792,7500,2,294,0.00,,
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),Brenda Maier,PB,1,0325,7328,7168,,160,0.00,,
9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),Brenda Maier,PB,1,0325,8732,8586,,146,0.00,,
9781958325230,DOGS NEXT DOOR,Patricia Carlin,CB,1,0325,4421,4434,13,,0.00,,
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,Brian Freschi,PB,1,0325,8360,8262,6,104,82.62,,
9781958325247,GIANT BABY!,Liz Rosenberg,CB,1,0325,10023,9335,,688,0.00,,
9781958325100,LINDEN: THE STORY OF A TREE,Colleen Muske,CB,1,0325,4241,4244,4,1,0.00,,
9781958325186,LITTLE WOLFS HOWL: A STORY OF GETTING LOST ONLY TO FIND ONES VOICE,Nelly Buchet,CB,1,0325,3922,3900,,22,0.00,,
9781958325025,MY BIG EMBARRASSING ELEPHANT,Angie Lucas,CB,1,0325,11824,11724,3,103,0.00,,
9781958325124,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP AND GROWING UP,Anne Ylvisaker,CB,1,0325,2578,2577,6,7,0.00,,
9781958325407,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP AND GROWING UP,Anne Ylvisaker,PB,1,0325,6320,6191,,129,0.00,,
9781958325087,OUR UNBREAKABLE THREAD: A FAMILYS LOVE THROUGH GENERATIONS,Jon Collins-Black,CB,1,0325,14247,14069,5,183,0.00,,
9781958325223,RAFA AND THE WRONG LEGS,Angie Lucas,CB,1,0325,4012,4018,11,5,0.00,,
9781958325254,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,Brian Anderson,PB,1,0325,5269,5140,9,138,0.00,,
9781958325308,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,Brian Anderson,CB,1,0325,2687,2656,,31,0.00,,
9781958325148,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,,PB,1,0325,4716,4657,7,66,0.00,,
9781958325292,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,,CB,1,0325,2388,2327,,61,0.00,,
9781958325285,THESE LITTLE FEET,Hayley Rawsthorne,CB,1,0325,10483,10157,,326,0.00,,
9781958325209,TRACTOR SQUAD,Heather Dawn Torres,CB,1,0325,3818,3808,,10,0.00,,
9781958325322,TRACTOR SQUAD SAVES THE DAY,Heather Dawn Torres,CB,1,0325,6213,5658,,555,0.00,,
TOTALS,,,,,,129374,126411,66,3029,82.62,0,0
