ACTIVITY SUMMARY REPORT
MARBLE PRESS LLC - 57395
PERIOD - 0324
ISBN,TITLE,AUTHOR,PROD TYPE,WHS,BILL PERIOD,BEG QTY,END QTY,TOT QTY RECV,SHIP QTY,STRG DUE,INSUR DUE,ADJ QTY
L#20,L#25,L#30,L#8,L#3,L#8,R#10,R#10,R#12,R#10,R#10,R#10,R#7
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),Brenda Maier,PB,1,0324,0,9921,10300,379,0.00,,
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),Brenda Maier,PB,1,0324,0,9792,10300,508,0.00,,
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,Brian Freschi,PB,1,0324,8771,8657,,114,0.00,,
9781958325100,LINDEN: THE STORY OF A TREE,Colleen Muske,CB,1,0324,0,4705,5154,449,0.00,,
9781958325025,MY BIG EMBARRASSING ELEPHANT,Angie Lucas,CB,1,0324,8243,8245,4,2,0.00,,
9781958325087,OUR UNBREAKABLE THREAD: A FAMILYS LOVE THROUGH GENERATIONS,Jon Collins-Black,CB,1,0324,0,10054,10200,146,0.00,,
TOTALS,,,,,,17014,51374,35958,1598,0,0,0
