INVENTORY RECEIPT BY SUBJECT REPORT
MARBLE PRESS LLC - 57395
PERIOD - 0525
TTRAN,PUB,RECEIPT DATE,ISBN,TITLE,WAREHOUSE,QTY RECEIVED,RECEIVING CHARGES,SUBJECT
106891,57395,05-22-25,9781958325087,OUR UNBREAKABLE THREAD: A FAMILYS LOVE THROUGH GENERATIONS,1,15440,0.00,
106892,57395,05-22-25,9781958325414,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),1,5264,0.00,
106893,57395,05-22-25,9781958325711,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),1,5264,0.00,
 
SUBJECT TOTALS,,,,,,25968,0.00,
 
 
TOTALS,,,,,,25968,0.00
 
