EBOOK SALES BY TITLE REPORT
57395 - MARBLE PRESS LLC
PERIOD from 08-01-25 to 08-31-25
ORDER NBR,DATE,ISBN,TITLE,QUANTITY,PRODUCT AMT
6472595,08-26-25,9781958325018,Ellie In First Position: A Graphic Novel,1,1.13
6473170,08-29-25,9781958325018,Ellie In First Position: A Graphic Novel,1,4.99
6473170,08-29-25,9781958325018,Ellie In First Position: A Graphic Novel,1,4.99
Subtotal for Ellie In First Position: A Graphic Novel,,,,3,11.11
 
6473170,08-29-25,9781958325193,Little Wolfs Howl: A Story Of Getting Lost Only To Find Ones Voice,1,9.99
Subtotal for Little Wolfs Howl: A Story Of Getting Lost Only To Find Ones Voice,,,,1,9.99
 
6473164,08-29-25,9781958325131,One Alley Summer: A Novel About Friendship And Growing Up,1,0.47
Subtotal for One Alley Summer: A Novel About Friendship And Growing Up,,,,1,0.47
 
6473158,08-28-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,7,49.00
6473164,08-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.27
6473164,08-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.27
6473164,08-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.27
6473164,08-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.27
6473164,08-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.27
6473164,08-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.27
6473164,08-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.27
6473164,08-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.27
6473164,08-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.27
6473164,08-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.27
6473164,08-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.27
6473164,08-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.27
6473164,08-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.27
6473164,08-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.27
6473164,08-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.27
6473164,08-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.27
6473170,08-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,4.99
Subtotal for Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,,,,24,58.31
 
6473170,08-29-25,9781958325315,Rafa And The Wrong Legs,1,4.99
Subtotal for Rafa And The Wrong Legs,,,,1,4.99
 
Total,,,,30,84.87
