ACTIVITY SUMMARY REPORT
MARBLE PRESS LLC - 57395
PERIOD - 1224
ISBN,TITLE,AUTHOR,PROD TYPE,WHS,BILL PERIOD,BEG QTY,END QTY,TOT QTY RECV,SHIP QTY,STRG DUE,INSUR DUE,ADJ QTY
L#20,L#25,L#30,L#8,L#3,L#8,R#10,R#10,R#12,R#10,R#10,R#10,R#7
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),Brenda Maier,PB,1,1224,8061,7985,1,77,0.00,,
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),Brenda Maier,PB,1,1224,7603,7509,,94,0.00,,
9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),Brenda Maier,PB,1,1224,8866,8785,,81,0.00,,
9781958325230,DOGS NEXT DOOR,Patricia Carlin,CB,1,1224,4363,4366,29,26,0.00,,
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,Brian Freschi,PB,1,1224,8439,8406,2,35,84.06,,
9781958325100,LINDEN: THE STORY OF A TREE,Colleen Muske,CB,1,1224,4251,4248,,3,0.00,,
9781958325186,LITTLE WOLFS HOWL: A STORY OF GETTING LOST ONLY TO FIND ONES VOICE,Nelly Buchet,CB,1,1224,3945,3928,,17,0.00,,
9781958325025,MY BIG EMBARRASSING ELEPHANT,Angie Lucas,CB,1,1224,1673,1660,,13,16.60,,
9781958325124,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP AND GROWING UP,Anne Ylvisaker,CB,1,1224,2563,2557,1,7,0.00,,
9781958325087,OUR UNBREAKABLE THREAD: A FAMILYS LOVE THROUGH GENERATIONS,Jon Collins-Black,CB,1,1224,8204,6759,,1445,0.00,,
9781958325223,RAFA AND THE WRONG LEGS,Angie Lucas,CB,1,1224,4075,4046,,29,0.00,,
9781958325254,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,Brian Anderson,PB,1,1224,5571,5342,,229,0.00,,
9781958325308,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,Brian Anderson,CB,1,1224,2834,2718,,116,0.00,,
9781958325148,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,,PB,1,1224,5025,4779,,246,0.00,,
9781958325292,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,Brian Anderson,CB,1,1224,3080,2455,,625,0.00,,
9781958325209,TRACTOR SQUAD,Heather Dawn Torres,CB,1,1224,3799,3778,,21,0.00,,
TOTALS,,,,,,82352,79321,33,3064,100.66,0,0
