EBOOK SALES BY TITLE REPORT
57395 - MARBLE PRESS LLC
PERIOD from 12-01-25 to 12-31-25
ORDER NBR,DATE,ISBN,TITLE,QUANTITY,PRODUCT AMT
6508853,12-23-25,9781958325063,Adventures Of Penguin And Panda: Surprise!: Graphic Novel (1),1,4.50
Subtotal for Adventures Of Penguin And Panda: Surprise!: Graphic Novel (1),,,,1,4.50
 
6508853,12-23-25,9781958325179,Adventures Of Penguin And Panda: Winterfest: Graphic Novel (3),1,4.50
Subtotal for Adventures Of Penguin And Panda: Winterfest: Graphic Novel (3),,,,1,4.50
 
6507475,12-15-25,9781958325490,Dogs Next Door,1,0.50
6507476,12-15-25,9781958325490,Dogs Next Door,1,0.50
Subtotal for Dogs Next Door,,,,2,1.00
 
6507570,12-16-25,9781958325018,Ellie In First Position: A Graphic Novel,1,2.34
6508853,12-23-25,9781958325018,Ellie In First Position: A Graphic Novel,1,4.50
6509420,12-30-25,9781958325018,Ellie In First Position: A Graphic Novel,1,3.40
6509420,12-30-25,9781958325018,Ellie In First Position: A Graphic Novel,1,2.19
6509420,12-30-25,9781958325018,Ellie In First Position: A Graphic Novel,1,2.33
6509421,12-30-25,9781958325018,Ellie In First Position: A Graphic Novel,1,5.49
6509421,12-30-25,9781958325018,Ellie In First Position: A Graphic Novel,1,5.49
Subtotal for Ellie In First Position: A Graphic Novel,,,,7,25.74
 
6507474,12-15-25,9781958325551,Giant Baby!,1,0.28
6507475,12-15-25,9781958325551,Giant Baby!,1,0.28
6507476,12-15-25,9781958325551,Giant Baby!,1,0.28
6509366,12-29-25,9781958325551,Giant Baby!,1,4.50
Subtotal for Giant Baby!,,,,4,5.34
 
6507474,12-15-25,9781958325469,I Said No: A Kid-to-kid Guide To Keeping Private Parts Private,1,0.40
6507474,12-15-25,9781958325469,I Said No: A Kid-to-kid Guide To Keeping Private Parts Private,1,0.41
6508640,12-22-25,9781958325469,I Said No: A Kid-to-kid Guide To Keeping Private Parts Private,1,6.39
6508853,12-23-25,9781958325469,I Said No: A Kid-to-kid Guide To Keeping Private Parts Private,5,33.75
6509366,12-29-25,9781958325469,I Said No: A Kid-to-kid Guide To Keeping Private Parts Private,4,27.00
Subtotal for I Said No: A Kid-to-kid Guide To Keeping Private Parts Private,,,,12,67.95
 
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.36
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.36
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.35
6507474,12-15-25,9781958325384,Into The Deep Blue,1,0.36
