ACTIVITY SUMMARY REPORT
MARBLE PRESS LLC - 57395
PERIOD - 1024
ISBN,TITLE,AUTHOR,PROD TYPE,WHS,BILL PERIOD,BEG QTY,END QTY,TOT QTY RECV,SHIP QTY,STRG DUE,INSUR DUE,ADJ QTY
L#20,L#25,L#30,L#8,L#3,L#8,R#10,R#10,R#12,R#10,R#10,R#10,R#7
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),Brenda Maier,PB,1,1024,8266,8103,1,164,0.00,,
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),Brenda Maier,PB,1,1024,7896,7688,18,226,0.00,,
9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),Brenda Maier,PB,1,1024,9322,8902,,420,0.00,,
9781958325230,DOGS NEXT DOOR,Patricia Carlin,CB,1,1024,4484,4389,,95,0.00,,
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,Brian Freschi,PB,1,1024,8502,8453,3,52,84.53,,
9781958325100,LINDEN: THE STORY OF A TREE,Colleen Muske,CB,1,1024,4270,4267,,3,0.00,,
9781958325186,LITTLE WOLFS HOWL: A STORY OF GETTING LOST ONLY TO FIND ONES VOICE,Nelly Buchet,CB,1,1024,4173,4004,,169,0.00,,
9781958325025,MY BIG EMBARRASSING ELEPHANT,Angie Lucas,CB,1,1024,1740,1689,6,57,16.89,,
9781958325124,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP AND GROWING UP,Anne Ylvisaker,CB,1,1024,2602,2567,1,36,0.00,,
9781958325087,OUR UNBREAKABLE THREAD: A FAMILYS LOVE THROUGH GENERATIONS,Jon Collins-Black,CB,1,1024,9651,8865,8,794,0.00,,
9781958325223,RAFA AND THE WRONG LEGS,Angie Lucas,CB,1,1024,4363,4140,,223,0.00,,
9781958325254,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,Brian Anderson,PB,1,1024,6493,5737,,756,0.00,,
9781958325308,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,Brian Anderson,CB,1,1024,0,3080,3080,0,0.00,,
9781958325148,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,,PB,1,1024,6430,5163,,1267,0.00,,
9781958325292,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,Brian Anderson,CB,1,1024,0,3080,3080,0,0.00,,
9781958325209,TRACTOR SQUAD,Heather Dawn Torres,CB,1,1024,4010,3871,,139,0.00,,
TOTALS,,,,,,82202,83998,6197,4401,101.42,0,0
