ACTIVITY SUMMARY REPORT
MARBLE PRESS LLC - 57395
PERIOD - 0924
ISBN,TITLE,AUTHOR,PROD TYPE,WHS,BILL PERIOD,BEG QTY,END QTY,TOT QTY RECV,SHIP QTY,STRG DUE,INSUR DUE,ADJ QTY
L#20,L#25,L#30,L#8,L#3,L#8,R#10,R#10,R#12,R#10,R#10,R#10,R#7
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),Brenda Maier,PB,1,0924,8311,8266,5,50,0.00,,
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),Brenda Maier,PB,1,0924,8173,7896,,277,0.00,,
9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),Brenda Maier,PB,1,0924,9906,9322,,584,0.00,,
9781958325230,DOGS NEXT DOOR,Patricia Carlin,CB,1,0924,5159,4484,,675,0.00,,
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,Brian Freschi,PB,1,0924,8539,8502,,37,0.00,,
9781958325100,LINDEN: THE STORY OF A TREE,Colleen Muske,CB,1,0924,4271,4270,1,2,0.00,,
9781958325186,LITTLE WOLFS HOWL: A STORY OF GETTING LOST ONLY TO FIND ONES VOICE,Nelly Buchet,CB,1,0924,4419,4173,,246,0.00,,
9781958325025,MY BIG EMBARRASSING ELEPHANT,Angie Lucas,CB,1,0924,1729,1740,57,46,17.40,,
9781958325124,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP AND GROWING UP,Anne Ylvisaker,CB,1,0924,2702,2602,,100,0.00,,
9781958325087,OUR UNBREAKABLE THREAD: A FAMILYS LOVE THROUGH GENERATIONS,Jon Collins-Black,CB,1,0924,9741,9651,1,91,0.00,,
9781958325223,RAFA AND THE WRONG LEGS,Angie Lucas,CB,1,0924,4589,4363,,226,0.00,,
9781958325254,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,Brian Anderson,PB,1,0924,6707,6493,2,216,0.00,,
9781958325148,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,,PB,1,0924,6667,6430,3,240,0.00,,
9781958325209,TRACTOR SQUAD,Heather Dawn Torres,CB,1,0924,4365,4010,13,368,0.00,,
TOTALS,,,,,,85278,82202,82,3158,17.4,0,0
