MONTHLY SALES BY TITLE
MARBLE PRESS LLC - 57395
PERIOD - 0124
ISBN #,TITLE,WAREHOUSE,ORDER #,PONO,CUSTOMER,UNITS SOLD,DISC %,AMOUNT
 
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6219384,1HS6KGUU,AMAZON.COM SERVICES INC ATLGX,8,50.00,55.96
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6219802,MOM3861657,BAKER & TAYLOR BOOKS,7,50.00,48.96
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6219805,COM2125422,BAKER & TAYLOR BOOKS,5,50.00,34.97
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6221866,748536,BRODART CO,2,50.00,13.99
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6211548,746875,BRODART CO,1,50.00,6.99
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6220872,748271,BRODART CO,2,50.00,13.99
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6212288,1961,EAST BAY BOOKSELLERS,1,45.00,7.69
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6210670,8258048,FOLLETT SCHOOL SOLUTIONS,20,55.00,125.91
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,JB,6221895,November 2023 Receipts,FRASER DIRECT,23,25.00,173.71
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6215368,DZ016T2R,INGRAM BOOK COMPANY,12,50.00,83.94
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6209012,NZ002YBR,INGRAM BOOK COMPANY,5,50.00,34.97
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,CM555412,6204442,INGRAM BOOK COMPANY,-4,49.97,-28.00
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6219645,AV12024-22BTPS,KINOKUNIYA BOOKSTORE,1,45.00,7.69
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6221770,224029009,MACKIN EDUCATIONAL RESOURCES,1,55.00,6.30
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6209916,0213816RO,MAPLE TREE BOOKS LLC,1,45.00,7.69
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6209712,M21137635,NORTHSHIRE BOOKSTORE,1,45.00,7.69
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6219442,BTPSFL23,OFF THE BEATEN PATH,2,45.00,15.39
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6207220,057612,RED BALLOON BOOKSHOP  THE,1,45.00,7.69
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6209687,1286582,STRAND BOOKSTORE,2,50.00,13.99
SUBTOTAL 9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,,,,,91,,639.52
9781958325018,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6221279,DECEMBER 2023 SALES,AMAZON.COM SERVICES EBOOKS,1,55.00,4.50
9781958325018,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,1,6221763,DECEMBER 2023 SALES,SCRIBD,1,,4.00
SUBTOTAL 9781958325018,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,,,,,2,,8.50
9781958325070,FUN AND GAMES! THE ADVENTURES OF PENGUIN AND PANDA: GRAPHIC NOVEL (2),1,6220099,39182,CWB BOOKS DBA BOOKHAMPTON,0,45.00,0.00
