EBOOK SALES BY TITLE REPORT
57395 - MARBLE PRESS LLC
PERIOD from 07-01-25 to 07-31-25
ORDER NBR,DATE,ISBN,TITLE,QUANTITY,PRODUCT AMT
6461108,07-29-25,9781958325117,: The Story Of A Tree And The Community That Loves Him,1,0.50
Subtotal for : The Story Of A Tree And The Community That Loves Him,,,,1,0.50
 
6460944,07-28-25,9781958325018,Ellie In First Position: A Graphic Novel,1,4.59
Subtotal for Ellie In First Position: A Graphic Novel,,,,1,4.59
 
6461026,07-29-25,9781958325032,My Big Embarrassing Elephant,1,0.28
6461026,07-29-25,9781958325032,My Big Embarrassing Elephant,1,0.28
6461108,07-29-25,9781958325032,My Big Embarrassing Elephant,1,0.28
6461108,07-29-25,9781958325032,My Big Embarrassing Elephant,1,0.28
Subtotal for My Big Embarrassing Elephant,,,,4,1.12
 
6461026,07-29-25,9781958325131,One Alley Summer: A Novel About Friendship And Growing Up,1,0.48
6461026,07-29-25,9781958325131,One Alley Summer: A Novel About Friendship And Growing Up,1,0.48
6461026,07-29-25,9781958325131,One Alley Summer: A Novel About Friendship And Growing Up,1,0.48
Subtotal for One Alley Summer: A Novel About Friendship And Growing Up,,,,3,1.44
 
6448990,07-08-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,15,105.00
6460938,07-28-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,4.00
6460938,07-28-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,4.00
6460938,07-28-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,4.00
6460938,07-28-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,4.00
6460938,07-28-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,4.00
6460938,07-28-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,4.00
6460945,07-28-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,5.50
6460945,07-28-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,5.50
6461026,07-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.28
6461026,07-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.28
6461026,07-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.28
6461026,07-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.28
6461026,07-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.28
6461026,07-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.28
6461026,07-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.28
6461026,07-29-25,9781958325094,Our Unbreakable Thread: A Book About All Of Our Lives From Parent To Child Generation To Generation,1,0.28
