EBOOK SALES BY TITLE REPORT
57395 - MARBLE PRESS LLC
PERIOD from 01-01-24 to 01-31-24
ORDER NBR,DATE,ISBN,TITLE,QUANTITY,PRODUCT AMT
6221279,01-27-24,9781958325018,Ellie In First Position: A Graphic Novel,1,4.50
6221763,01-29-24,9781958325018,Ellie In First Position: A Graphic Novel,1,4.00
Subtotal for Ellie In First Position: A Graphic Novel,,,,2,8.50
 
6214391,01-15-24,9781958325032,My Big Embarrassing Elephant,1,0.28
6214391,01-15-24,9781958325032,My Big Embarrassing Elephant,1,0.28
Subtotal for My Big Embarrassing Elephant,,,,2,0.56
 
Total,,,,4,9.06
