ACTIVITY SUMMARY REPORT
MARBLE PRESS LLC - 57395
PERIOD - 0126
ISBN,TITLE,AUTHOR,PROD TYPE,WHS,BILL PERIOD,BEG QTY,END QTY,TOT QTY RECV,SHIP QTY,STRG DUE,INSUR DUE,ADJ QTY
L#20,L#25,L#30,L#8,L#3,L#8,R#10,R#10,R#12,R#10,R#10,R#10,R#7
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),Brenda Maier,PB,1,0126,7076,7044,,32,70.44,,
9781958325414,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),Brenda Maier,CB,1,0126,4945,4924,,21,0.00,,
9781958325445,ADVENTURES OF PENGUIN AND PANDA: IN THE DARK (VOL 4): A GRAPHIC NOVEL,Brenda Maier,PB,1,0126,1007,987,4,24,0.00,,
9781958325452,ADVENTURES OF PENGUIN AND PANDA: IN THE DARK (VOL 4): A GRAPHIC NOVEL,Brenda Maier,CB,1,0126,1665,1566,,99,0.00,,
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),Brenda Maier,PB,1,0126,6558,6500,,58,65.00,,
9781958325711,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),Brenda Maier,CB,1,0126,4921,4884,,37,0.00,,
9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),Brenda Maier,PB,1,0126,8276,8238,4,42,82.38,,
9781958325421,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),Brenda Maier,CB,1,0126,1826,1763,3,66,0.00,,
9781958325230,DOGS NEXT DOOR,Patricia Carlin,CB,1,0126,4428,4425,4,7,44.25,,
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,Brian Freschi,PB,1,0126,7908,7884,,24,78.84,,
9781958325247,GIANT BABY!,Liz Rosenberg,CB,1,0126,9136,9135,,1,0.00,,
9781958325391,I SAID NO: A KID-TO-KID GUIDE TO KEEPING PRIVATE PARTS PRIVATE,Kimberly King,CB,1,0126,7793,7866,119,46,0.00,,
9781958325377,INTO THE DEEP BLUE,Jennifer E. Archer,CB,1,0126,2567,2464,64,167,0.00,,
9781958325100,LINDEN: THE STORY OF A TREE,Colleen Muske,CB,1,0126,4212,4208,2,6,42.08,,
9781958325186,LITTLE WOLFS HOWL: A STORY OF GETTING LOST ONLY TO FIND ONES VOICE,Nelly Buchet,CB,1,0126,3797,3794,,3,37.94,,
9781958325025,MY BIG EMBARRASSING ELEPHANT,Angie Lucas,CB,1,0126,11527,11514,,13,115.14,,
9781958325124,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP AND GROWING UP,Anne Ylvisaker,CB,1,0126,2631,2637,10,4,26.37,,
9781958325407,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP AND GROWING UP,Anne Ylvisaker,PB,1,0126,6089,6085,,4,0.00,,
9781958325087,OUR UNBREAKABLE THREAD: A FAMILYS LOVE THROUGH GENERATIONS,Jon Collins-Black,CB,1,0126,20995,20975,1,21,0.00,,
9781958325223,RAFA AND THE WRONG LEGS,Angie Lucas,CB,1,0126,3737,3731,2,8,37.31,,
9781958325254,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,Brian Anderson,PB,1,0126,4908,4893,1,16,48.93,,
9781958325308,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,Brian Anderson,CB,1,0126,2457,2452,,5,24.52,,
9781958325148,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,,PB,1,0126,4149,4108,,41,41.08,,
9781958325292,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,,CB,1,0126,2154,2150,,4,21.50,,
9781958325346,SOPHIE: WAGS TO WISHES (VOL 3): A GRAPHIC NOVEL,Brian Anderson,CB,1,0126,1342,1263,,79,0.00,,
9781958325353,SOPHIE: WAGS TO WISHES (VOL 3): A GRAPHIC NOVEL,Brian Anderson,PB,1,0126,797,795,15,17,0.00,,
9781958325285,THESE LITTLE FEET,Hayley Rawsthorne,CB,1,0126,9878,9853,,25,0.00,,
9781958325209,TRACTOR SQUAD,Heather Dawn Torres,CB,1,0126,3674,3670,3,7,36.70,,
9781958325322,TRACTOR SQUAD SAVES THE DAY,Heather Dawn Torres,CB,1,0126,5502,5510,12,4,0.00,,
TOTALS,,,,,,155955,155318,244,881,772.48,0,0
