ACTIVITY SUMMARY REPORT
MARBLE PRESS LLC - 57395
PERIOD - 1125
ISBN,TITLE,AUTHOR,PROD TYPE,WHS,BILL PERIOD,BEG QTY,END QTY,TOT QTY RECV,SHIP QTY,STRG DUE,INSUR DUE,ADJ QTY
L#20,L#25,L#30,L#8,L#3,L#8,R#10,R#10,R#12,R#10,R#10,R#10,R#7
9781958325070,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),Brenda Maier,PB,1,1125,7155,7147,,8,71.47,,
9781958325414,ADVENTURES OF PENGUIN AND PANDA: FUN AND GAMES!: GRAPHIC NOVEL (2),Brenda Maier,CB,1,1125,4960,4959,,1,0.00,,
9781958325445,ADVENTURES OF PENGUIN AND PANDA: IN THE DARK (VOL 4): A GRAPHIC NOVEL,Brenda Maier,PB,1,1125,1185,1129,,56,0.00,,
9781958325452,ADVENTURES OF PENGUIN AND PANDA: IN THE DARK (VOL 4): A GRAPHIC NOVEL,Brenda Maier,CB,1,1125,1807,1787,,20,0.00,,
9781958325056,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),Brenda Maier,PB,1,1125,6638,6622,,16,66.22,,
9781958325711,ADVENTURES OF PENGUIN AND PANDA: SURPRISE!: GRAPHIC NOVEL (1),Brenda Maier,CB,1,1125,4947,4946,,1,0.00,,
9781958325162,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),Brenda Maier,PB,1,1125,8353,8338,,15,83.38,,
9781958325421,ADVENTURES OF PENGUIN AND PANDA: WINTERFEST: GRAPHIC NOVEL (3),Brenda Maier,CB,1,1125,1881,1879,,2,0.00,,
9781958325230,DOGS NEXT DOOR,Patricia Carlin,CB,1,1125,4430,4430,2,2,44.30,,
9781958325001,ELLIE IN FIRST POSITION: A GRAPHIC NOVEL,Brian Freschi,PB,1,1125,7965,7957,,8,79.57,,
9781958325247,GIANT BABY!,Liz Rosenberg,CB,1,1125,9126,9125,3,4,0.00,,
9781958325391,I SAID NO: A KID-TO-KID GUIDE TO KEEPING PRIVATE PARTS PRIVATE,Kimberly King,CB,1,1125,1769,12947,11200,22,0.00,,
9781958325377,INTO THE DEEP BLUE,Jennifer E. Archer,CB,1,1125,3670,3537,2,135,0.00,,
9781958325100,LINDEN: THE STORY OF A TREE,Colleen Muske,CB,1,1125,4210,4208,,2,42.08,,
9781958325186,LITTLE WOLFS HOWL: A STORY OF GETTING LOST ONLY TO FIND ONES VOICE,Nelly Buchet,CB,1,1125,3807,3809,2,,38.09,,
9781958325025,MY BIG EMBARRASSING ELEPHANT,Angie Lucas,CB,1,1125,11536,11537,1,,0.00,,
9781958325124,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP AND GROWING UP,Anne Ylvisaker,CB,1,1125,2618,2617,,1,26.17,,
9781958325407,ONE ALLEY SUMMER: A NOVEL OF FRIENDSHIP AND GROWING UP,Anne Ylvisaker,PB,1,1125,6088,6089,1,,0.00,,
9781958325087,OUR UNBREAKABLE THREAD: A FAMILYS LOVE THROUGH GENERATIONS,Jon Collins-Black,CB,1,1125,20943,20994,94,43,0.00,,
9781958325223,RAFA AND THE WRONG LEGS,Angie Lucas,CB,1,1125,3766,3755,,11,37.55,,
9781958325254,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,Brian Anderson,PB,1,1125,4955,4929,1,27,49.29,,
9781958325308,SOPHIE: FRANKENSTEINS HOUND: A GRAPHIC NOVEL  VOL.2,Brian Anderson,CB,1,1125,2501,2494,,7,24.94,,
9781958325148,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,,PB,1,1125,4228,4218,1,11,42.18,,
9781958325292,SOPHIE: JURASSIC BARK: A GRAPHIC NOVEL  VOL.1,,CB,1,1125,2185,2181,,4,0.00,,
9781958325346,SOPHIE: WAGS TO WISHES (VOL 3): A GRAPHIC NOVEL,Brian Anderson,CB,1,1125,1589,1575,,14,0.00,,
9781958325353,SOPHIE: WAGS TO WISHES (VOL 3): A GRAPHIC NOVEL,Brian Anderson,PB,1,1125,1080,1039,,41,0.00,,
9781958325285,THESE LITTLE FEET,Hayley Rawsthorne,CB,1,1125,9913,9904,1,10,0.00,,
9781958325209,TRACTOR SQUAD,Heather Dawn Torres,CB,1,1125,3683,3680,2,5,36.80,,
9781958325322,TRACTOR SQUAD SAVES THE DAY,Heather Dawn Torres,CB,1,1125,5504,5503,,1,0.00,,
TOTALS,,,,,,152492,163335,11310,467,642.04,0,0
